asin,productDescription,category,price,retailPrice,productRating,countReview,salesVolume_clean,price_tier,has_reviews,review_density,prime
B0CHDNC8ZJ,Ravensburger Horrified Games - Greek Monsters - Strategy Board Game - Boost Critical Thinking & Teamwork - Cooperative Gameplay - Unique Monster Challenges - 1 to 5 Players - Adults & Kids 10+,board game,19.85,34.99,4.7,500,100.0,mid,1,106.15711252653928,False
B0BQ5PFMF3,"You Laugh You're Out [A Party Game with Hilarious Charades Family Card Games for Adults & Teens, 125 Prompt Cards Fun for Family Game Nights, Gatherings, & Parties Ages 14+]",board game,19.97,0.0,4.4,3192,3000.0,mid,1,723.8095238095237,False
B0DK3ZZFVM,"Mistborn Deckbuilding Game by Brotherwise Games | Fantasy Card Strategy with Allomantic Powers | Build Your Deck, Burn Metals, and Battle Through Cinematic Missions | 1 to 4 Players | Ages 13+",board game,44.95,49.99,4.7,219,400.0,premium,1,46.496815286624205,False
B000SDKDM4,"Lavazza Super Crema Whole Bean Coffee, Medium Espresso Roast, Arabica and Robusta Blend, 2.2 lb Bag, Package May Vary (Pack of 1)",coffee beans,28.34,0.0,4.5,39401,80000.0,mid,1,8736.363636363636,False
B071WWCVJV,"Amazon Fresh, Colombia Whole Bean Coffee Medium Roast, 32 Oz",coffee beans,18.37,0.0,4.3,11459,20000.0,budget,1,2658.7006960556846,False
B00P0ZMWEC,"Lavazza Espresso Whole Bean Coffee, Medium Roast, 100% Arabica, 2.2 lb Bag (Pack of 1)",coffee beans,22.99,0.0,4.6,18300,50000.0,mid,1,3969.6312364425166,False
B005OJ4X32,"Lavazza Espresso Barista Gran Crema Whole Bean Coffee Blend, Medium Espresso Roast, Oz Bag (Packaging May Vary) - 2.2 LB, 35.2 Ounce",coffee beans,25.0,0.0,4.6,13263,30000.0,mid,1,2877.006507592191,False
B0002E2GQU,"Lavazza Crema E Aroma Whole Bean Coffee Blend, 2.2-Pound Bag , Balanced medium roast with an intense, earthy flavor and long lasting crema, Non-GMO",coffee beans,22.53,0.0,4.5,16741,10000.0,mid,1,3711.9733924611974,False
B0959BPLP4,"Starbucks Whole Coffee Beans, Medium Roast Hot or Iced Coffee, Pike Place Roast, 28 oz",coffee beans,20.21,0.0,4.6,3598,10000.0,mid,1,780.477223427332,False
B003YVRX5W,"Tim Hortons Whole Bean Original, Medium Roast Coffee, Made with 100% Arabica Beans, 32 Ounce Bag",coffee beans,15.95,0.0,4.5,3335,6000.0,budget,1,739.4678492239468,False
B0936JKKJ2,"Starbucks Whole Bean Coffee, Medium Roast Coffee, Pike Place Roast, 100% Arabica, 1 bag (18 oz)",coffee beans,12.99,0.0,4.6,3598,3000.0,budget,1,780.477223427332,False
B072MQFGHG,"Amazon Fresh Organic Fair Trade Sumatra Whole Bean Coffee, Dark Roast, 12 Ounce",coffee beans,6.98,0.0,4.2,1863,5000.0,budget,1,442.51781472684087,False
B0DV1HTF6K,"Lavazza Super Crema Whole Bean Coffee, Medium Espresso Roast, Arabica and Robusta Blend, 22 oz Bag",coffee beans,16.68,0.0,4.4,1051,10000.0,budget,1,238.3219954648526,False
B0721BFM6C,"Amazon Fresh, Just Bright Whole Bean Coffee Light Roast, 32 Oz",coffee beans,16.23,0.0,4.3,3564,10000.0,budget,1,826.9141531322507,False
B0959PRQG8,"Starbucks Whole Bean Coffee, Dark Roast Coffee, French Roast, 100% Arabica, 1 bag (28 oz)",coffee beans,23.19,0.0,4.6,4932,9000.0,mid,1,1069.8481561822127,False
B006Y7WAHE,"Cameron's Coffee Roasted Whole Bean Coffee, Breakfast Blend, 32 Ounce",coffee beans,17.98,0.0,4.4,2185,7000.0,budget,1,495.46485260770976,False
B087K8DC6X,"Peet's Coffee, Dark Roast Whole Bean Coffee, 100% Arabica Coffee - Major Dickason's Blend 18 Ounce Bag",coffee beans,16.86,0.0,4.6,8100,10000.0,budget,1,1757.0498915401304,False
B007PM9YNA,"Kauai Coffee Whole Bean Coffee – Smooth, Non-Bitter Pure Arabica – Light Floral Notes & Bright Aroma – Grown on Hawaii's Largest Coffee Farm – Koloa Estate Medium Roast, 1 Pack of 10oz",coffee beans,7.68,0.0,4.4,1672,3000.0,budget,1,379.1383219954648,False
B01EYCIBZ0,"Starbucks Whole Coffee Beans, Starbucks Blonde Roast Hot or Iced Coffee, Veranda Blend, Six 12 oz Bags",coffee beans,41.88,51.24,4.6,1725,2000.0,premium,1,374.18655097613885,False
B076ZZGHPH,"Stumptown Coffee Roasters, Founder's Blend, 100% Arabica Coffee - Organic Whole Bean Coffee, 100% Arabica Coffee - 12 Ounce Bag, Flavor Notes of Vanilla and Cocoa Powder",coffee beans,14.98,0.0,4.2,1580,5000.0,budget,1,375.2969121140143,False
B01L9YE808,"Copper Moon Dark Roast Whole Bean Coffee, Sumatra Blend, 2 Lb",coffee beans,21.49,0.0,4.4,5818,7000.0,mid,1,1319.2743764172335,False
B098WFRWWC,"Blue Bottle Whole Bean Organic Coffee, Balanced, Medium Roast, 12 Ounce bag (Pack of 1)",coffee beans,14.48,0.0,4.5,481,4000.0,budget,1,106.65188470066519,False
B07HJVHKVY,"Lavazza ¡Tierra! Organic for Planet Whole Bean Coffee, Light Roast, 100% Arabica, 2.2 lb Bag (pack of 1)",coffee beans,27.89,0.0,4.5,3012,5000.0,mid,1,667.849223946785,False
B07XHPY28C,"Lavazza Gran Riserva Filtro Whole Bean Coffee Dark Roast 2.2LB Bag, 100% Natural Arabica, Authentic Italian, Cocoa and Caramel aromatic notes",coffee beans,26.0,0.0,4.6,1221,2000.0,mid,1,264.8590021691974,False
